"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43940818045189","2.56882977833482","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307649044","2.83405555049927","-0.927016879663365","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073170899803","28.5448336883419","28.6006922574089","27.9049203479905","14.0475569152156","13.2007636272863","11.0957231233849","14.0967332030459","14.8367188947641","13.2812573907351","18.4537773493207","17.8749659033074","16.9303398445363","15.3620420090818","9.95814793574422","15.9248566697386","16.4724679522442",
"Samoa Americana","ASM","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2199007591853","20.7161977052518","24.2015577483223","15.8999924024149","18.9729385580654","21.21390989304","21.0424675889672","20.4477859447831","13.354416323509","11.9828950851134","11.8915862766891","13.1875531053812","10.220395365677","11.0371114217981","8.07697496085429","11.3293251765927","24.2614248497659","13.56885825845","10.4193676952227","7.16092291024921","7.22704969732689","2.78827665790782","7.16026351179298","9.74883855968536","15.2494201373492","23.0562019165613","26.3834270318497","14.2859594743234","",
"Australia","AUS","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6939800707898","24.4466025838497","20.8336978371838","18.3392426475688","20.329631511401","21.8766132588699","20.6380638667351","20.9017076047928","21.815615792781","21.6289348353287","20.6443475665593","21.2120594695712","20.7621464295446","21.7917151376796","21.0935651947519","21.5323080836884","20.9915022445326","21.7190685427929","21.404377644859","21.945852146038","24.054588630804","21.8486184743178","23.3281167489964","24.3707863432277","23.9759068176664","23.6678791399035","22.7006654626826","20.7214597680937","21.810204741107","21.7426192547098","22.3853755721656","23.6781718693289","25.7753351130643",
"Austria","AUT","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.056628480125","26.7359483964229","28.1898307700907","28.7013518011879","24.8395273125451","25.8248947305645","26.0945303285528","25.7751176386955","25.4841611612385","25.9861312288427","25.6533133864183","27.1189183152887","26.3426329631149","26.7697682872812","27.8398651237526","28.7385419854051","28.2702550747277",
"Azerbaiyán","AZE","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.28102707845158","2.1043983093025","13.8209193078555","6.61884098122421","14.4728476596646","20.0314072783536","23.6630819869817","22.7117703158763","26.0313860127335","27.5425664333779","39.7041456849671","45.0843479979943","45.3645516429541","49.9430695713702","40.3676699846917","44.7303156495938","46.7937847377213","44.270343305257","42.7595486499261","40.746656833028","28.121919689224","22.6001463478813","29.0257536823728","32.1495600059931","28.5735479704091","23.5689818278517","32.8240067328827",
"Burundi","BDI","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.2636614525349","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108639","3.73755729739957","6.04074612248643","0.665302857107392","2.41802868214964","1.32796784952459","1.48988364734218","4.20017398723748","6.75563090813406","6.58731771530622","15.3494251147034","8.00747467480694","7.33743386154018","-1.50473127320181","9.85453441306685","3.21313415821424","1.95173000980195","10.8824789648611","3.93252264958965","0.592294551679579","11.2847252256531","6.70054462908808","7.56784923712837","5.53967603863024","","","",
"Bélgica","BEL","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.37176774741","26.2242285590273","27.1943475754274","27.3168221709726","27.8480009657266","28.7795848698255","27.4273411880211","25.0027358564653","25.3512921303418","23.5006448334686","24.7315892456327","24.234111842163","24.5771233592409","25.0086782160592","24.8169663577795","25.1549074397309","24.4985622607429","25.1085831765028","25.4435252263858","26.4357670478035",
"Benin","BEN","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018916506305","10.1493346314316","11.215815138723","13.6151012929892","10.5040564325719","12.6413848767821","4.17243288354407","-3.2515576185361","13.2215475129539","8.1925154980758","7.51661402140557","2.63422420507194","4.13737395255718","4.35786381362685","0.770432280531512","4.51420464564828","9.68837395690807","10.7565411618978","9.57520641648833","9.6853137699726","14.5061015214504","15.8971112473208","15.2438911447474","16.1878513351162","15.7985753887415","12.4565302386023","12.6838792690968","13.2789218522183","13.6132886058767","11.3663909483015","13.2568656898271","12.1909298997418","12.4648654635762","14.0451902830668","12.6417405194128","11.454386666759","11.3872624211693","12.125649003128","13.5331677387815","16.2831559488553","18.6021787626882","13.8620300516247","17.4022894323241","17.3991546117987","19.6366053688417","21.7194272910178","21.3148835807707","",
"Burkina Faso","BFA","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85370029893315","6.31385045509631","10.1689024149199","9.60447775506932","11.4920273754756","15.838709974504","17.4955993515736","18.0633010908326","14.3904330892987","13.3891808539794","11.8593440795797","13.4507488422039","14.7702126393654","17.1079807630542","16.8667786162531","","",
